36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
16:44:34.0 (276797)|USER_INFO|[EXTERNAL]|0050Y000000d4Kn|shizhaolee@gmail.com|Greenwich Mean Time|GMTZ
16:44:34.0 (303067)|EXECUTION_STARTED
16:44:34.0 (307847)|CODE_UNIT_STARTED|[EXTERNAL]|0660Y000001Vevo|VF: /apex/HighlightPanelConfig
16:44:34.0 (2587221)|SYSTEM_MODE_ENTER|true
16:44:34.0 (2909269)|HEAP_ALLOCATE|[72]|Bytes:3
16:44:34.0 (2948437)|HEAP_ALLOCATE|[77]|Bytes:152
16:44:34.0 (2963819)|HEAP_ALLOCATE|[342]|Bytes:408
16:44:34.0 (2977452)|HEAP_ALLOCATE|[355]|Bytes:408
16:44:34.0 (2990309)|HEAP_ALLOCATE|[467]|Bytes:48
16:44:34.0 (3018997)|HEAP_ALLOCATE|[139]|Bytes:6
16:44:34.0 (3088871)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
16:44:34.0 (3092724)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:140
16:44:34.0 (3094894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
16:44:34.0 (3102343)|METHOD_ENTRY|[1]|01p0Y000004cwHM|HighlightPanelConfig.HighlightPanelConfig()
16:44:34.0 (3105865)|STATEMENT_EXECUTE|[1]
16:44:34.0 (3110593)|STATEMENT_EXECUTE|[1]
16:44:34.0 (3111649)|STATEMENT_EXECUTE|[46]
16:44:34.0 (3116393)|METHOD_EXIT|[1]|HighlightPanelConfig
16:44:34.0 (3122909)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
16:44:34.0 (3128596)|VARIABLE_SCOPE_BEGIN|[6]|this|HighlightPanelConfig|true|false
16:44:34.0 (3177454)|VARIABLE_ASSIGNMENT|[6]|this|{}|0x21619971
16:44:34.0 (3183759)|STATEMENT_EXECUTE|[1]
16:44:34.0 (3185054)|STATEMENT_EXECUTE|[2]
16:44:34.0 (3203594)|STATEMENT_EXECUTE|[3]
16:44:34.0 (3205026)|STATEMENT_EXECUTE|[4]
16:44:34.0 (3213100)|HEAP_ALLOCATE|[7]|Bytes:6
