36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
18:48:00.0 (313189)|USER_INFO|[EXTERNAL]|0050Y000000d4Kn|shizhaolee@gmail.com|Greenwich Mean Time|GMTZ
18:48:00.0 (344639)|EXECUTION_STARTED
18:48:00.0 (348895)|CODE_UNIT_STARTED|[EXTERNAL]|0660Y000001Vevo|VF: /apex/HighlightPanelConfig
18:48:00.0 (2464134)|SYSTEM_MODE_ENTER|true
18:48:00.0 (2841985)|HEAP_ALLOCATE|[72]|Bytes:3
18:48:00.0 (2882019)|HEAP_ALLOCATE|[77]|Bytes:152
18:48:00.0 (2897876)|HEAP_ALLOCATE|[342]|Bytes:408
18:48:00.0 (2912169)|HEAP_ALLOCATE|[355]|Bytes:408
18:48:00.0 (2925826)|HEAP_ALLOCATE|[467]|Bytes:48
18:48:00.0 (2952358)|HEAP_ALLOCATE|[139]|Bytes:6
18:48:00.0 (2969593)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
18:48:00.0 (2973113)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:140
18:48:00.0 (2975247)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
18:48:00.0 (2983032)|METHOD_ENTRY|[1]|01p0Y000004cwHM|HighlightPanelConfig.HighlightPanelConfig()
18:48:00.0 (2986681)|STATEMENT_EXECUTE|[1]
18:48:00.0 (2991558)|STATEMENT_EXECUTE|[1]
18:48:00.0 (2992922)|STATEMENT_EXECUTE|[46]
18:48:00.0 (2997431)|METHOD_EXIT|[1]|HighlightPanelConfig
18:48:00.0 (3014806)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:48:00.0 (3021241)|VARIABLE_SCOPE_BEGIN|[6]|this|HighlightPanelConfig|true|false
18:48:00.0 (3077633)|VARIABLE_ASSIGNMENT|[6]|this|{}|0x7e7968ed
18:48:00.0 (3083890)|STATEMENT_EXECUTE|[1]
18:48:00.0 (3084992)|STATEMENT_EXECUTE|[2]
18:48:00.0 (3086504)|STATEMENT_EXECUTE|[3]
18:48:00.0 (3087394)|STATEMENT_EXECUTE|[4]
18:48:00.0 (3094957)|HEAP_ALLOCATE|[7]|Bytes:6
18:48:00.0 (3136026)|STATEMENT_EXECUTE|[6]
18:48:00.0 (3137751)|STATEMENT_EXECUTE|[7]
18:48:00.0 (3144549)|HEAP_ALLOCATE|[7]|Bytes:4
18:48:00.0 (3240713)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x7e7968ed
18:48:00.0 (3269118)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:48:00.0 (3285772)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"s":1,"v":[]}|0xa32cee4
18:48:00.0 (3299432)|VARIABLE_ASSIGNMENT|[2]|this.Fields|{"s":1,"v":[]}|0x7e7968ed
18:48:00.0 (3306608)|STATEMENT_EXECUTE|[8]
18:48:00.0 (3309664)|HEAP_ALLOCATE|[8]|Bytes:4
18:48:00.0 (3344270)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0xa32cee4"}|0x7e7968ed
18:48:00.0 (3356975)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:48:00.0 (3362228)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"s":1,"v":[]}|0x38f17442
18:48:00.0 (3369468)|VARIABLE_ASSIGNMENT|[3]|this.NumberFields|{"s":1,"v":[]}|0x7e7968ed
18:48:00.0 (3374674)|STATEMENT_EXECUTE|[9]
18:48:00.0 (3377982)|HEAP_ALLOCATE|[9]|Bytes:7
18:48:00.0 (3417953)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0xa32cee4","NumberFields":"0x38f17442"}|0x7e7968ed
18:48:00.0 (3423185)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"Account"
18:48:00.0 (3429284)|VARIABLE_ASSIGNMENT|[4]|this.selectedObject|"Account"|0x7e7968ed
18:48:00.0 (3434067)|STATEMENT_EXECUTE|[10]
18:48:00.0 (3451907)|METHOD_ENTRY|[10]|01p0Y000004cwHM|HighlightPanelConfig.updateFieldList()
18:48:00.0 (3465532)|VARIABLE_SCOPE_BEGIN|[23]|this|HighlightPanelConfig|true|false
18:48:00.0 (3479428)|VARIABLE_ASSIGNMENT|[23]|this|{"Fields":"0xa32cee4","NumberFields":"0x38f17442","selectedObject":"Account"}|0x7e7968ed
18:48:00.0 (3485655)|STATEMENT_EXECUTE|[23]
18:48:00.0 (3486999)|STATEMENT_EXECUTE|[24]
18:48:00.0 (3509835)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0xa32cee4","NumberFields":"0x38f17442","selectedObject":"Account"}|0x7e7968ed
18:48:00.0 (3529459)|STATEMENT_EXECUTE|[25]
18:48:00.0 (3550351)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0xa32cee4","NumberFields":"0x38f17442","selectedObject":"Account"}|0x7e7968ed
18:48:00.0 (3579035)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0xa32cee4","NumberFields":"0x38f17442","selectedObject":"Account"}|0x7e7968ed
18:48:00.0 (3595904)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0xa32cee4","NumberFields":"0x38f17442","selectedObject":"Account"}|0x7e7968ed
18:48:00.0 (3617805)|HEAP_ALLOCATE|[50]|Bytes:5
18:48:00.0 (3631277)|HEAP_ALLOCATE|[56]|Bytes:5
18:48:00.0 (3636160)|HEAP_ALLOCATE|[64]|Bytes:7
18:48:00.0 (3674447)|STATEMENT_EXECUTE|[27]
18:48:00.0 (3676078)|STATEMENT_EXECUTE|[28]
18:48:00.0 (16605470)|HEAP_ALLOCATE|[28]|Bytes:1396
18:48:00.0 (16651112)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0xa32cee4","NumberFields":"0x38f17442","selectedObject":"Account"}|0x7e7968ed
18:48:00.0 (16686204)|VARIABLE_SCOPE_BEGIN|[28]|objType|Schema.SObjectType|true|false
18:48:00.0 (16914588)|VARIABLE_ASSIGNMENT|[28]|objType|"common.apex.runtime.impl.ApexSObjectTypeToken@14a7aef"|0x14a7aef
18:48:00.0 (16919057)|STATEMENT_EXECUTE|[29]
18:48:00.0 (17571567)|HEAP_ALLOCATE|[29]|Bytes:4
18:48:00.0 (18709454)|HEAP_ALLOCATE|[29]|Bytes:264
18:48:00.0 (18721293)|VARIABLE_SCOPE_BEGIN|[29]|fieldMap|Map<String,Schema.SObjectField>|true|false
18:48:00.0 (18872285)|VARIABLE_ASSIGNMENT|[29]|fieldMap|"{accountnumber=AccountNumber, accountsource=AccountSource, active__c=Active__c, annualrevenue=AnnualRevenue, billingaddress=BillingAddress, billingcity=BillingCity, billingcountry=BillingCountry, billinggeocodeaccuracy=BillingGeocodeAccuracy, billinglatitude=BillingLatitude, billinglongitude=BillingLongitude, ...}"|0x4f113a4a
18:48:00.0 (18940405)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:264
18:48:00.0 (18965590)|HEAP_ALLOCATE|[30]|Bytes:264
18:48:00.0 (19045199)|HEAP_ALLOCATE|[30]|Bytes:5
18:48:00.0 (19065228)|VARIABLE_SCOPE_BEGIN|[30]|fieldObj|Schema.SObjectField|true|false
18:48:00.0 (19131415)|VARIABLE_ASSIGNMENT|[30]|fieldObj|"common.apex.runtime.impl.ApexFieldToken@45bfaf5e"|0x45bfaf5e
18:48:00.0 (19136381)|STATEMENT_EXECUTE|[30]
18:48:00.0 (19575093)|HEAP_ALLOCATE|[31]|Bytes:8
18:48:00.0 (19598086)|STATEMENT_EXECUTE|[31]
18:48:00.0 (19612488)|HEAP_ALLOCATE|[30]|Bytes:5
18:48:00.0 (19625272)|VARIABLE_SCOPE_BEGIN|[30]|fieldObj|Schema.SObjectField|true|false
18:48:00.0 (19691454)|VARIABLE_ASSIGNMENT|[30]|fieldObj|"common.apex.runtime.impl.ApexFieldToken@5c132af0"|0x5c132af0
18:48:00.0 (19695266)|STATEMENT_EXECUTE|[30]
18:48:00.0 (19798628)|HEAP_ALLOCATE|[31]|Bytes:8
18:48:00.0 (19810091)|STATEMENT_EXECUTE|[31]
