38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
18:56:07.0 (302378)|USER_INFO|[EXTERNAL]|0050Y000000d4Kn|shizhaolee@gmail.com|Greenwich Mean Time|GMTZ
18:56:07.0 (333076)|EXECUTION_STARTED
18:56:07.0 (338402)|CODE_UNIT_STARTED|[EXTERNAL]|0660Y000001V39Z|VF: /apex/DragForce
18:56:07.0 (10539586)|SYSTEM_MODE_ENTER|true
18:56:07.0 (10773161)|HEAP_ALLOCATE|[72]|Bytes:3
18:56:07.0 (10796835)|HEAP_ALLOCATE|[77]|Bytes:152
18:56:07.0 (10806381)|HEAP_ALLOCATE|[342]|Bytes:408
18:56:07.0 (10816283)|HEAP_ALLOCATE|[355]|Bytes:408
18:56:07.0 (10825357)|HEAP_ALLOCATE|[467]|Bytes:48
18:56:07.0 (10846046)|HEAP_ALLOCATE|[139]|Bytes:6
18:56:07.0 (10889230)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
18:56:07.0 (10893169)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:140
18:56:07.0 (10895413)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
18:56:07.0 (10903130)|METHOD_ENTRY|[1]|01p0Y000004cwHM|HighlightPanelConfig.HighlightPanelConfig()
18:56:07.0 (10906835)|STATEMENT_EXECUTE|[1]
18:56:07.0 (10912079)|STATEMENT_EXECUTE|[1]
18:56:07.0 (10913415)|STATEMENT_EXECUTE|[46]
18:56:07.0 (10917528)|METHOD_EXIT|[1]|HighlightPanelConfig
18:56:07.0 (10922364)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:56:07.0 (10927876)|VARIABLE_SCOPE_BEGIN|[6]|this|HighlightPanelConfig|true|false
18:56:07.0 (10976218)|VARIABLE_ASSIGNMENT|[6]|this|{}|0x2ac5ab92
18:56:07.0 (10981242)|STATEMENT_EXECUTE|[1]
18:56:07.0 (10982716)|STATEMENT_EXECUTE|[2]
18:56:07.0 (10984476)|STATEMENT_EXECUTE|[3]
18:56:07.0 (10985382)|STATEMENT_EXECUTE|[4]
18:56:07.0 (10991088)|HEAP_ALLOCATE|[7]|Bytes:6
18:56:07.0 (11026213)|STATEMENT_EXECUTE|[6]
18:56:07.0 (11028086)|STATEMENT_EXECUTE|[7]
18:56:07.0 (11094092)|HEAP_ALLOCATE|[7]|Bytes:4
18:56:07.0 (11169850)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x2ac5ab92
18:56:07.0 (11196079)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:56:07.0 (11214357)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"s":1,"v":[]}|0x26df9cb7
18:56:07.0 (11225396)|VARIABLE_ASSIGNMENT|[2]|this.Fields|{"s":1,"v":[]}|0x2ac5ab92
18:56:07.0 (11232497)|STATEMENT_EXECUTE|[8]
18:56:07.0 (11235728)|HEAP_ALLOCATE|[8]|Bytes:4
18:56:07.0 (11264839)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0x26df9cb7"}|0x2ac5ab92
18:56:07.0 (11272263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:56:07.0 (11276743)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"s":1,"v":[]}|0x5425c531
18:56:07.0 (11282596)|VARIABLE_ASSIGNMENT|[3]|this.NumberFields|{"s":1,"v":[]}|0x2ac5ab92
