39.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
19:23:51.0 (313040)|USER_INFO|[EXTERNAL]|0050Y000000d4Kn|shizhaolee@gmail.com|Greenwich Mean Time|GMTZ
19:23:51.0 (337641)|EXECUTION_STARTED
19:23:51.0 (340142)|CODE_UNIT_STARTED|[EXTERNAL]|0660Y000001V39Z|VFRemote: custable invoke(triggerMonitor)
19:23:51.0 (350270)|SYSTEM_MODE_ENTER|true
19:23:51.0 (806427)|HEAP_ALLOCATE|[72]|Bytes:3
19:23:51.0 (870100)|HEAP_ALLOCATE|[77]|Bytes:152
19:23:51.0 (885885)|HEAP_ALLOCATE|[342]|Bytes:408
19:23:51.0 (905688)|HEAP_ALLOCATE|[355]|Bytes:408
19:23:51.0 (924465)|HEAP_ALLOCATE|[467]|Bytes:48
19:23:51.0 (954014)|HEAP_ALLOCATE|[139]|Bytes:6
19:23:51.0 (971528)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:232
19:23:51.0 (1007148)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:33
19:23:51.0 (1011078)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
19:23:51.0 (1036647)|METHOD_ENTRY|[1]|01p0Y000009c27r|custable.custable()
19:23:51.0 (1041028)|STATEMENT_EXECUTE|[1]
19:23:51.0 (1046045)|STATEMENT_EXECUTE|[1]
19:23:51.0 (1076843)|HEAP_ALLOCATE|[50]|Bytes:5
19:23:51.0 (1095708)|HEAP_ALLOCATE|[56]|Bytes:5
19:23:51.0 (1104371)|HEAP_ALLOCATE|[64]|Bytes:7
19:23:51.0 (1120696)|SYSTEM_MODE_ENTER|false
19:23:51.0 (1129823)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
19:23:51.0 (1135698)|SYSTEM_MODE_EXIT|false
19:23:51.0 (1158660)|METHOD_EXIT|[1]|custable
19:23:51.0 (1164077)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
19:23:51.0 (1174896)|VARIABLE_SCOPE_BEGIN|[52]|name|String|false|false
19:23:51.0 (1366218)|VARIABLE_ASSIGNMENT|[52]|name|"lol"
19:23:51.0 (1383235)|SYSTEM_MODE_ENTER|false
19:23:51.0 (1388866)|HEAP_ALLOCATE|[54]|Bytes:5
19:23:51.0 (1392717)|STATEMENT_EXECUTE|[52]
19:23:51.0 (1394152)|STATEMENT_EXECUTE|[54]
19:23:51.0 (1397542)|HEAP_ALLOCATE|[54]|Bytes:12
19:23:51.0 (1439434)|USER_DEBUG|[54]|DEBUG|DfMonitor__c
19:23:51.0 (1447320)|STATEMENT_EXECUTE|[55]
19:23:51.0 (1468024)|HEAP_ALLOCATE|[55]|Bytes:4
19:23:51.0 (1579110)|VARIABLE_SCOPE_BEGIN|[55]|newObject|DfMonitor__c|true|false
19:23:51.0 (1597565)|VARIABLE_ASSIGNMENT|[55]|newObject|{}|0x57328809
19:23:51.0 (1600659)|STATEMENT_EXECUTE|[59]
19:23:51.0 (2340878)|VARIABLE_ASSIGNMENT|[59]|this.Name|"lol"|0x57328809
19:23:51.0 (2346372)|STATEMENT_EXECUTE|[60]
19:23:51.0 (2405022)|HEAP_ALLOCATE|[60]|Bytes:4
19:23:51.0 (2557780)|VARIABLE_ASSIGNMENT|[60]|this.createDate__c|"2017-03-23T00:00:00.000Z"|0x57328809
19:23:51.0 (2563049)|STATEMENT_EXECUTE|[63]
19:23:51.0 (2594872)|HEAP_ALLOCATE|[63]|Bytes:8
19:23:51.0 (2599636)|DML_BEGIN|[63]|Op:Insert|Type:DfMonitor__c|Rows:1
19:23:51.0 (2619214)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:23:51.0 (28986544)|DML_END|[63]
19:23:51.0 (28999001)|STATEMENT_EXECUTE|[64]
19:23:51.0 (29005090)|SYSTEM_MODE_EXIT|false
19:23:51.0 (31563369)|CODE_UNIT_FINISHED|VFRemote: custable invoke(triggerMonitor)
19:23:51.0 (32460110)|EXECUTION_FINISHED
