38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
18:10:43.0 (60456)|USER_INFO|[EXTERNAL]|0050Y000000d4Kn|shizhaolee@gmail.com|Greenwich Mean Time|GMTZ
18:10:43.0 (87380)|EXECUTION_STARTED
18:10:43.0 (91742)|CODE_UNIT_STARTED|[EXTERNAL]|0660Y000001V39Z|VF: /apex/DragForce
18:10:43.0 (9960022)|SYSTEM_MODE_ENTER|true
18:10:43.0 (10383378)|HEAP_ALLOCATE|[72]|Bytes:3
18:10:43.0 (10418707)|HEAP_ALLOCATE|[77]|Bytes:152
18:10:43.0 (10434092)|HEAP_ALLOCATE|[342]|Bytes:408
18:10:43.0 (10446913)|HEAP_ALLOCATE|[355]|Bytes:408
18:10:43.0 (10459380)|HEAP_ALLOCATE|[467]|Bytes:48
18:10:43.0 (10485883)|HEAP_ALLOCATE|[139]|Bytes:6
18:10:43.0 (10498343)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
18:10:43.0 (10501902)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:140
18:10:43.0 (10504097)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
18:10:43.0 (10512926)|METHOD_ENTRY|[1]|01p0Y000004cwHM|HighlightPanelConfig.HighlightPanelConfig()
18:10:43.0 (10516392)|STATEMENT_EXECUTE|[1]
18:10:43.0 (10520777)|STATEMENT_EXECUTE|[1]
18:10:43.0 (10521964)|STATEMENT_EXECUTE|[46]
18:10:43.0 (10525707)|METHOD_EXIT|[1]|HighlightPanelConfig
18:10:43.0 (10770940)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:10:43.0 (10778921)|VARIABLE_SCOPE_BEGIN|[6]|this|HighlightPanelConfig|true|false
18:10:43.0 (10842737)|VARIABLE_ASSIGNMENT|[6]|this|{}|0x26c8c5c2
18:10:43.0 (10849731)|STATEMENT_EXECUTE|[1]
18:10:43.0 (10851234)|STATEMENT_EXECUTE|[2]
18:10:43.0 (10852477)|STATEMENT_EXECUTE|[3]
18:10:43.0 (10853525)|STATEMENT_EXECUTE|[4]
18:10:43.0 (10862400)|HEAP_ALLOCATE|[7]|Bytes:6
18:10:43.0 (10900462)|STATEMENT_EXECUTE|[6]
18:10:43.0 (10901842)|STATEMENT_EXECUTE|[7]
18:10:43.0 (10907539)|HEAP_ALLOCATE|[7]|Bytes:4
18:10:43.0 (11000699)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x26c8c5c2
18:10:43.0 (11029152)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:10:43.0 (11046560)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"s":1,"v":[]}|0x580bd7ce
18:10:43.0 (11058094)|VARIABLE_ASSIGNMENT|[2]|this.Fields|{"s":1,"v":[]}|0x26c8c5c2
18:10:43.0 (11065031)|STATEMENT_EXECUTE|[8]
18:10:43.0 (11068145)|HEAP_ALLOCATE|[8]|Bytes:4
18:10:43.0 (11101966)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0x580bd7ce"}|0x26c8c5c2
18:10:43.0 (11109685)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:10:43.0 (11114672)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"s":1,"v":[]}|0x67a0cfea
18:10:43.0 (11120993)|VARIABLE_ASSIGNMENT|[3]|this.NumberFields|{"s":1,"v":[]}|0x26c8c5c2
18:10:43.0 (11125560)|STATEMENT_EXECUTE|[9]
18:10:43.0 (11128503)|HEAP_ALLOCATE|[9]|Bytes:7
18:10:43.0 (11166599)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0x580bd7ce","NumberFields":"0x67a0cfea"}|0x26c8c5c2
18:10:43.0 (11172407)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"Account"
18:10:43.0 (11178142)|VARIABLE_ASSIGNMENT|[4]|this.selectedObject|"Account"|0x26c8c5c2
18:10:43.0 (11182858)|STATEMENT_EXECUTE|[10]
18:10:43.0 (11196820)|METHOD_ENTRY|[10]|01p0Y000004cwHM|HighlightPanelConfig.updateFieldList()
18:10:43.0 (11209131)|VARIABLE_SCOPE_BEGIN|[23]|this|HighlightPanelConfig|true|false
18:10:43.0 (11221658)|VARIABLE_ASSIGNMENT|[23]|this|{"Fields":"0x580bd7ce","NumberFields":"0x67a0cfea","selectedObject":"Account"}|0x26c8c5c2
18:10:43.0 (11227841)|STATEMENT_EXECUTE|[23]
18:10:43.0 (11228994)|STATEMENT_EXECUTE|[24]
18:10:43.0 (11250958)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0x580bd7ce","NumberFields":"0x67a0cfea","selectedObject":"Account"}|0x26c8c5c2
18:10:43.0 (11268400)|STATEMENT_EXECUTE|[25]
18:10:43.0 (11288454)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0x580bd7ce","NumberFields":"0x67a0cfea","selectedObject":"Account"}|0x26c8c5c2
18:10:43.0 (11315173)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0x580bd7ce","NumberFields":"0x67a0cfea","selectedObject":"Account"}|0x26c8c5c2
18:10:43.0 (11330498)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0x580bd7ce","NumberFields":"0x67a0cfea","selectedObject":"Account"}|0x26c8c5c2
18:10:43.0 (11350287)|HEAP_ALLOCATE|[50]|Bytes:5
18:10:43.0 (11363848)|HEAP_ALLOCATE|[56]|Bytes:5
18:10:43.0 (11369175)|HEAP_ALLOCATE|[64]|Bytes:7
18:10:43.0 (11401943)|STATEMENT_EXECUTE|[27]
18:10:43.0 (11403514)|STATEMENT_EXECUTE|[28]
18:10:43.0 (23943459)|HEAP_ALLOCATE|[28]|Bytes:1396
18:10:43.0 (23983449)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"Fields":"0x580bd7ce","NumberFields":"0x67a0cfea","selectedObject":"Account"}|0x26c8c5c2
18:10:43.0 (24013837)|VARIABLE_SCOPE_BEGIN|[28]|objType|Schema.SObjectType|true|false
18:10:43.0 (24196648)|VARIABLE_ASSIGNMENT|[28]|objType|"common.apex.runtime.impl.ApexSObjectTypeToken@2a70fd21"|0x2a70fd21
18:10:43.0 (24200769)|STATEMENT_EXECUTE|[29]
18:10:43.0 (24803438)|HEAP_ALLOCATE|[29]|Bytes:4
18:10:43.0 (25887712)|HEAP_ALLOCATE|[29]|Bytes:264
18:10:43.0 (25898778)|VARIABLE_SCOPE_BEGIN|[29]|fieldMap|Map<String,Schema.SObjectField>|true|false
18:10:43.0 (26046716)|VARIABLE_ASSIGNMENT|[29]|fieldMap|"{accountnumber=AccountNumber, accountsource=AccountSource, active__c=Active__c, annualrevenue=AnnualRevenue, billingaddress=BillingAddress, billingcity=BillingCity, billingcountry=BillingCountry, billinggeocodeaccuracy=BillingGeocodeAccuracy, billinglatitude=BillingLatitude, billinglongitude=BillingLongitude, ...}"|0x3c6c20f0
18:10:43.0 (26106580)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:264
18:10:43.0 (26129164)|HEAP_ALLOCATE|[30]|Bytes:264
18:10:43.0 (26192227)|HEAP_ALLOCATE|[30]|Bytes:5
18:10:43.0 (26212308)|VARIABLE_SCOPE_BEGIN|[30]|fieldObj|Schema.SObjectField|true|false
18:10:43.0 (26275803)|VARIABLE_ASSIGNMENT|[30]|fieldObj|"common.apex.runtime.impl.ApexFieldToken@7f73ad76"|0x7f73ad76
18:10:43.0 (26280441)|STATEMENT_EXECUTE|[30]
18:10:43.0 (26687273)|HEAP_ALLOCATE|[31]|Bytes:8
18:10:43.0 (26710183)|STATEMENT_EXECUTE|[31]
18:10:43.0 (26721819)|HEAP_ALLOCATE|[30]|Bytes:5
18:10:43.0 (26735054)|VARIABLE_SCOPE_BEGIN|[30]|fieldObj|Schema.SObjectField|true|false
18:10:43.0 (26797960)|VARIABLE_ASSIGNMENT|[30]|fieldObj|"common.apex.runtime.impl.ApexFieldToken@329a9e7a"|0x329a9e7a
18:10:43.0 (26801404)|STATEMENT_EXECUTE|[30]
18:10:43.0 (26900139)|HEAP_ALLOCATE|[31]|Bytes:8
18:10:43.0 (26911983)|STATEMENT_EXECUTE|[31]
